Number Sorted,Time
1000,0.000144
2000,0.000307
3000,0.000534
4000,0.000707
5000,0.001012
6000,0.001822
7000,0.001281
8000,0.001476
9000,0.001694
10000,0.001881
11000,0.002344
12000,0.002331
13000,0.00255
14000,0.002748
15000,0.002973
16000,0.003169
17000,0.003445
18000,0.003633
19000,0.003855
20000,0.004059
21000,0.004307
22000,0.004548
23000,0.004735
24000,0.005014
25000,0.005236
26000,0.005436
27000,0.005668
28000,0.005945
29000,0.006131
30000,0.006387
31000,0.006631
32000,0.006819
33000,0.007073
34000,0.007318
35000,0.007699
36000,0.007815
37000,0.008068
38000,0.008296
39000,0.00857
40000,0.008754
41000,0.009075
42000,0.00928
43000,0.009495
44000,0.009742
45000,0.010006
46000,0.010294
47000,0.010424
48000,0.010749
49000,0.010981
50000,0.011173
51000,0.011411
52000,0.011692
53000,0.011943
54000,0.012245
55000,0.012433
56000,0.012671
57000,0.013128
58000,0.013262
59000,0.013457
60000,0.013836
61000,0.014134
62000,0.014308
63000,0.014483
64000,0.014675
65000,0.014965
66000,0.015308
67000,0.015456
68000,0.015742
69000,0.016006
70000,0.016261
71000,0.016543
72000,0.016716
73000,0.017166
74000,0.017347
75000,0.017561
76000,0.017794
77000,0.018117
78000,0.018309
79000,0.018586
80000,0.01893
81000,0.019266
82000,0.019498
83000,0.019754
84000,0.020038
85000,0.020331
86000,0.020668
87000,0.020874
88000,0.02175
89000,0.02155
90000,0.021667
91000,0.021968
92000,0.022321
93000,0.022503
94000,0.022774
95000,0.023132
96000,0.023243
97000,0.023618
98000,0.024176
99000,0.024166
100000,0.024345
101000,0.024681
102000,0.024838
103000,0.025158
104000,0.02564
105000,0.02577
106000,0.025997
107000,0.026282
108000,0.026727
109000,0.026829
110000,0.027051
111000,0.02763
112000,0.027795
113000,0.027956
114000,0.02816
115000,0.028436
116000,0.028834
117000,0.028963
118000,0.029341
119000,0.029645
120000,0.0301
121000,0.030201
122000,0.030375
123000,0.030578
124000,0.030956
125000,0.031141
126000,0.031556
127000,0.031753
128000,0.032125
129000,0.032753
130000,0.0327
131000,0.032981
132000,0.033199
133000,0.033549
134000,0.033801
135000,0.034119
136000,0.034408
137000,0.034713
138000,0.03485
139000,0.035242
140000,0.035517
141000,0.035709
142000,0.036057
143000,0.036497
144000,0.036519
145000,0.036973
146000,0.037319
147000,0.037629
148000,0.038045
149000,0.038058
150000,0.038388
151000,0.038848
152000,0.039048
153000,0.039172
154000,0.039442
155000,0.039789
156000,0.040117
157000,0.040485
158000,0.040714
159000,0.040979
160000,0.041207
161000,0.041457
162000,0.04178
163000,0.041984
164000,0.042532
165000,0.042925
166000,0.043008
167000,0.043466
168000,0.04371
169000,0.043886
170000,0.044116
171000,0.044628
172000,0.044962
173000,0.045063
174000,0.045282
175000,0.045563
176000,0.045943
177000,0.046161
178000,0.046442
179000,0.046837
180000,0.047064
181000,0.047275
182000,0.047531
183000,0.047816
184000,0.04813
185000,0.048297
186000,0.048779
187000,0.048926
188000,0.049229
189000,0.049836
190000,0.049877
191000,0.050305
192000,0.050547
193000,0.050836
194000,0.051217
195000,0.051535
196000,0.051953
197000,0.05188
198000,0.052294
199000,0.052463
200000,0.052902
201000,0.053185
202000,0.05367
203000,0.0539
204000,0.054353
205000,0.05448
206000,0.054667
207000,0.055245
208000,0.055532
209000,0.055635
210000,0.055991
211000,0.056128
212000,0.056578
213000,0.056719
214000,0.057042
215000,0.057283
216000,0.057796
217000,0.057898
218000,0.058308
219000,0.05851
220000,0.059001
221000,0.059063
222000,0.059437
223000,0.060225
224000,0.060038
225000,0.060216
226000,0.060365
227000,0.060813
228000,0.060741
229000,0.061101
230000,0.061665
231000,0.061963
232000,0.062573
233000,0.062748
234000,0.063056
235000,0.063241
236000,0.063578
237000,0.06369
238000,0.064009
239000,0.064557
240000,0.0649
241000,0.064986
242000,0.065327
243000,0.065802
244000,0.065855
